prep,strat,split,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
ANS,rand,4,8,12,0,96.91,86.84,33,33,7,3,91.67,82.50,62,4.90,299.20,303.92
ANS,rand,5,8,12,0,97.25,84.93,29,33,8,3,90.62,78.38,66,4.60,183.77,303.48
Ext,pw,1,8,12,0,91.38,81.33,31,30,8,6,83.78,79.49,53,5.77,113.87,305.91
Ext,pw,2,8,12,0,85.02,62.37,47,11,35,0,100.00,57.32,52,5.81,39.72,302.30
Ext,pw,3,8,12,0,90.34,81.01,13,51,5,10,56.52,72.22,50,6.12,83.29,306.10
Ext,pw,4,8,12,0,85.09,75.64,16,43,4,15,51.61,80.00,54,5.58,38.53,301.44
Ext,pw,5,8,12,0,91.69,77.33,53,5,14,3,94.64,79.10,55,5.48,158.89,301.61
Ext,rand,1,8,12,0,96.31,92.00,33,36,4,2,94.29,89.19,50,6.18,239.12,308.93
Ext,rand,2,8,12,0,94.15,89.33,29,38,2,6,82.86,93.55,50,6.22,172.78,310.91
Ext,rand,3,8,12,0,90.63,85.51,25,34,7,3,89.29,78.12,52,5.83,51.15,303.04
Ext,rand,4,8,12,0,93.52,86.84,32,34,6,4,88.89,84.21,50,6.09,206.64,304.27
Ext,rand,5,8,12,0,94.19,89.04,28,37,4,4,87.50,87.50,52,5.77,161.67,300.24
Low,pw,1,8,12,0,92.00,70.67,37,16,22,0,100.00,62.71,53,5.73,112.75,303.66
Low,pw,2,8,12,0,95.44,93.55,45,42,4,2,95.74,91.84,54,5.57,300.63,300.63
Low,pw,3,8,12,0,93.77,83.54,11,55,1,12,47.83,91.67,50,6.11,200.47,305.41
Low,pw,4,8,12,0,76.40,75.64,19,40,7,12,61.29,73.08,53,5.76,32.97,305.17
Low,pw,5,8,12,0,92.92,77.33,46,12,7,10,82.14,86.79,55,5.50,286.91,302.74
Low,rand,1,8,12,0,94.77,92.00,32,37,3,3,91.43,91.43,50,6.14,288.04,307.21
Low,rand,2,8,12,0,90.46,89.33,32,35,5,3,91.43,86.49,50,6.04,137.25,301.81
Low,rand,3,8,12,0,95.47,82.61,24,33,8,4,85.71,75.00,50,6.04,178.77,301.89
Low,rand,4,8,12,0,91.67,85.53,34,31,9,2,94.44,79.07,51,5.89,223.32,300.37
Low,rand,5,8,12,0,94.80,87.67,26,38,3,6,81.25,89.66,51,5.94,273.57,302.83
Raw,pw,1,8,12,0,98.46,78.67,24,35,3,13,64.86,88.89,66,4.56,301.13,301.13
Raw,pw,2,8,12,0,91.53,65.59,22,39,7,25,46.81,75.86,64,4.70,74.58,301.02
Raw,pw,3,8,12,0,97.82,72.15,1,56,0,22,4.35,100.00,62,4.90,303.55,303.55
Raw,pw,4,8,12,0,92.55,62.82,9,40,7,22,29.03,56.25,61,4.48,48.29,273.24
Raw,pw,5,8,12,0,94.77,77.33,53,5,14,3,94.64,79.10,67,4.53,157.51,303.54
Raw,rand,1,8,12,0,97.23,89.33,32,35,5,3,91.43,86.49,61,4.93,290.92,300.91
Raw,rand,2,8,12,0,96.62,90.67,31,37,3,4,88.57,91.18,64,4.76,271.15,304.87
Raw,rand,3,8,12,0,90.33,85.51,24,35,6,4,85.71,80.00,63,4.81,56.17,303.23
Raw,rand,4,8,12,0,93.83,89.47,32,36,4,4,88.89,88.89,63,4.82,123.13,303.64
Raw,rand,5,8,12,0,96.64,84.93,30,32,9,2,93.75,76.92,65,4.68,271.51,304.03
